"Job ID","Project","Start","End","State","#Nodes","#Cores","#GPUs","Exclusive","Walltime","Pending","Duration","Core Hours","Used Walltime","Partition"
"16792443","p_lv_internet","29/04/2025 13:30:17","29/04/2025 13:30:18","failed","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 17s","00d 00h 00min 01s","0.00","0.06","barnard"
"16755997","p_lv_internet","26/04/2025 03:46:28","26/04/2025 04:15:06","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 07s","00d 00h 28min 38s","2.86","95.44","barnard"
"16755989","p_lv_internet","26/04/2025 03:10:44","26/04/2025 03:41:08","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 05s","00d 00h 30min 24s","3.04","101.33","barnard"
"16754256","p_lv_internet","26/04/2025 02:36:04","26/04/2025 03:06:07","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 11s","00d 00h 30min 03s","3.00","100.17","barnard"
"16754255","p_lv_internet","26/04/2025 02:05:21","26/04/2025 02:35:34","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 01s","00d 00h 30min 13s","3.02","100.72","barnard"
"16754244","p_lv_internet","25/04/2025 23:50:07","26/04/2025 00:10:08","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 01s","00d 00h 20min 01s","2.00","66.72","barnard"
"16754197","p_lv_internet","25/04/2025 22:59:29","25/04/2025 23:29:54","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 28s","00d 00h 30min 25s","3.04","101.39","barnard"
"16754073","p_lv_internet","25/04/2025 22:25:31","25/04/2025 22:55:54","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 27s","00d 00h 30min 23s","3.04","101.28","barnard"
"16753994","p_lv_internet","25/04/2025 21:50:09","25/04/2025 22:20:19","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 02s","00d 00h 30min 10s","3.02","100.56","barnard"
"16753974","p_lv_internet","25/04/2025 20:46:07","25/04/2025 21:05:06","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 16s","00d 00h 18min 59s","1.90","63.28","barnard"
"16753967","p_lv_internet","25/04/2025 20:11:52","25/04/2025 20:42:09","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 15s","00d 00h 30min 17s","3.03","100.94","barnard"
"16753779","p_lv_internet","25/04/2025 19:10:35","25/04/2025 19:40:36","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 28s","00d 00h 30min 01s","3.00","100.06","barnard"
"16753747","p_lv_internet","25/04/2025 18:35:55","25/04/2025 19:06:05","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 07s","00d 00h 30min 10s","3.02","100.56","barnard"
"16753733","p_lv_internet","25/04/2025 18:00:09","25/04/2025 18:30:34","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 03s","00d 00h 30min 25s","3.04","101.39","barnard"
"16753719","p_lv_internet","25/04/2025 17:36:05","25/04/2025 17:50:06","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 17s","00d 00h 14min 01s","1.40","46.72","barnard"
"16753694","p_lv_internet","25/04/2025 17:00:15","25/04/2025 17:30:32","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 07s","00d 00h 30min 17s","3.03","100.94","barnard"
"16753321","p_lv_internet","25/04/2025 16:11:45","25/04/2025 16:42:00","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 27s","00d 00h 30min 15s","3.02","100.83","barnard"
"16752814","p_lv_internet","25/04/2025 15:30:33","25/04/2025 16:00:59","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 26s","00d 00h 30min 26s","3.04","101.44","barnard"
"16742635","p_lv_internet","25/04/2025 13:20:11","25/04/2025 13:45:08","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 05s","00d 00h 24min 57s","2.50","83.17","barnard"
"16742555","p_lv_internet","25/04/2025 12:30:17","25/04/2025 12:45:51","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 14s","00d 00h 15min 34s","1.56","51.89","barnard"
"16741975","p_lv_internet","25/04/2025 11:55:30","25/04/2025 12:25:47","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 27s","00d 00h 30min 17s","3.03","100.94","barnard"
"16741653","p_lv_internet","25/04/2025 11:20:11","25/04/2025 11:50:16","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 05s","00d 00h 30min 05s","3.01","100.28","barnard"
"16741280","p_lv_internet","25/04/2025 10:45:34","25/04/2025 11:15:44","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 28s","00d 00h 30min 10s","3.02","100.56","barnard"
"16739397","p_lv_internet","24/04/2025 18:14:23","24/04/2025 18:44:39","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 10s","00d 00h 30min 16s","3.03","100.89","barnard"
"16739346","p_lv_internet","24/04/2025 17:43:09","24/04/2025 18:13:36","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 05s","00d 00h 30min 27s","3.04","101.5","barnard"
"16736356","p_lv_internet","24/04/2025 17:35:18","24/04/2025 17:35:21","completed","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 12s","00d 00h 00min 03s","0.01","0.17","barnard"
"16735515","p_lv_internet","24/04/2025 17:15:16","24/04/2025 17:34:43","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 10s","00d 00h 19min 27s","1.95","64.83","barnard"
"16733478","p_lv_internet","24/04/2025 16:40:11","24/04/2025 17:10:26","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 04s","00d 00h 30min 15s","3.02","100.83","barnard"
"16733471","p_lv_internet","24/04/2025 16:34:15","24/04/2025 16:38:58","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 15s","00d 00h 04min 43s","0.47","15.72","barnard"
